Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Fast move (ID),Special move,Special move (ID),Special move 2,Special move 2 (ID),DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),UL Evo,UL Rank (min),UL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,Favorite,BuddyBoosted,Form,ShadowForm,MultiForm?,Dynamax,Height (cm),Weight (g),Height Tag,Catch Date,Catch Level
0,5/7/26 0:04:42,588,딱정곤,-,?,TR딱정곤82,30.0,30.0,978,108,5000,82.2,82.2,82.2,14.0,12.0,11.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,슈바르고,3036,3036,Default,,,0,0,?,?,0,2299,7,0,?,?,?,0,?,?
0,5/7/26 0:04:41,181,전룡,-,?,전룡87,20.0,20.0,1603,132,2500,86.7,86.7,86.7,15.0,9.0,15.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,전룡,2818,2818,Default,,,0,0,?,?,0,969,7,0,?,?,?,0,?,?
0,5/7/26 0:04:40,242,해피너스,-,?,해피너87,1.0,1.0,38,47,200,86.7,86.7,86.7,13.0,12.0,14.0,1, - , - , - , - , - , - ,0.0,1850,1850,해피너스,3802,3802,해피너스,3220,3220,Default,,,0,0,?,?,0,2083,1,0,?,?,?,0,?,?
0,5/7/26 0:04:38,327,얼루기,-,?,얼루기91,15.0,15.0,512,86,1900,91.1,91.1,91.1,13.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,얼루기,21,21, - , - , - ,Default,,,0,0,?,?,0,2127,1,0,?,?,?,0,?,?
0,5/7/26 0:04:34,616,쪼마리,-,?,쪼마리49,8.0,8.0,157,53,800,48.9,48.9,48.9,4.0,13.0,5.0,1, - , - , - , - , - , - ,0.0,710,710,어지리더,1384,1384,어지리더,1020,1020,Default,,,0,0,?,?,0,2321,7,0,?,?,?,0,?,?
0,5/7/26 0:04:33,588,딱정곤,-,?,딱정곤42,7.0,7.0,202,48,800,42.2,42.2,42.2,3.0,14.0,2.0,1, - , - , - , - , - , - ,0.0,1554,1554,슈바르고,2251,2251,슈바르고,1150,1150,Default,,,0,0,?,?,0,2299,7,0,?,?,?,0,?,?
0,5/7/26 0:04:31,133,이브이,-,?,이브이58,15.0,15.0,398,80,1900,57.8,57.8,57.8,1.0,15.0,10.0,1, - , - , - , - , - , - ,0.0,304,304,글레이시아,6,6,에브이,13,13,Default,,,0,0,?,?,0,2036,1,0,?,?,?,0,?,?
0,5/7/26 0:04:30,827,훔처우,-,?,훔처우64,15.0,15.0,259,69,1900,64.4,64.4,64.4,0.0,15.0,14.0,1, - , - , - , - , - , - ,0.0,61,61,폭슬라이,101,101, - , - , - ,Default,,,0,0,?,?,0,2502,1,0,?,?,?,0,?,?
0,5/7/26 0:04:28,333,파비코,-,?,파비코13,16.0,16.0,293,68,1900,13.3,13.3,13.3,2.0,4.0,0.0,1, - , - , - , - , - , - ,0.0,1655,1655,파비코리,1044,1044, - , - , - ,Default,,,0,0,?,?,0,2128,7,0,?,?,?,0,?,?
0,5/7/26 0:04:26,83,파오리 가라르,-,?,파오리96,17.0,17.0,808,84,2200,95.6,95.6,95.6,15.0,15.0,13.0,1, - , - , - , - , - , - ,0.0, - , - ,창파나이트,1488,1488,창파나이트,3150,3150,Default,,,0,0,?,?,0,1246,1,0,?,?,?,0,?,?
0,5/7/26 0:04:25,711,펌킨인 XS,-,?,펌킨인98,15.0,15.0,963,82,1900,97.8,97.8,97.8,15.0,15.0,14.0,1, - , - , - , - , - , - ,0.0, - , - ,펌킨인 XS,2949,2949,펌킨인 XS,31,31,Default,,,0,0,?,?,0,1718,1,0,?,?,?,0,?,?
0,5/7/26 0:04:23,607,불켜미,-,?,불켜미60,3.0,3.0,65,32,400,60.0,60.0,60.0,1.0,12.0,14.0,1, - , - , - , - , - , - ,0.0,356,356,샹델라,9,9,샹델라,551,551,Default,,,0,0,?,?,0,2314,7,0,?,?,?,0,?,?
0,5/7/26 0:04:22,957,어리짱,-,?,어리짱49,20.0,20.0,405,88,2500,48.9,48.9,48.9,0.0,11.0,11.0,1, - , - , - , - , - , - ,0.0,90,90,두드리짱,28,28,두드리짱,2520,2520,Default,,,0,0,?,?,0,2731,1,0,?,?,?,0,?,?
0,5/7/26 0:04:20,957,어리짱,-,?,어리짱91,4.0,4.0,88,38,400,91.1,91.1,91.1,15.0,12.0,14.0,1, - , - , - , - , - , - ,0.0,2693,2693,벼리짱,25,25,두드리짱,66,66,Default,,,0,0,?,?,0,2731,1,0,?,?,?,0,?,?
0,5/7/26 0:04:18,957,어리짱,-,?,TR어리짱64,30.0,30.0,669,105,5000,64.4,64.4,64.4,9.0,13.0,7.0,1, - , - , - , - , - , - ,0.0, - , - ,벼리짱,941,941,두드리짱,867,867,Default,,,0,0,?,?,0,2731,1,0,?,?,?,0,?,?
0,5/7/26 0:04:16,957,어리짱,-,?,어리짱71,21.0,21.0,476,89,3000,71.1,71.1,71.1,10.0,12.0,10.0,1, - , - , - , - , - , - ,0.0,1329,1329,벼리짱,515,515,두드리짱,553,553,Default,,,0,0,?,?,0,2731,1,0,?,?,?,0,?,?
0,5/7/26 0:04:12,915,맛보돈,-,?,맛보돈51,4.0,4.0,63,38,400,51.1,51.1,51.1,0.0,15.0,8.0,1, - , - , - , - , - , - ,0.0,171,171,퍼퓨돈 ♂,22,22,퍼퓨돈 ♀,22,22,Default,,,0,0,?,?,0,2692,1,0,?,?,?,0,?,?
0,5/7/26 0:04:10,408,두개도스,-,?,두개도49,8.0,8.0,370,66,800,48.9,48.9,48.9,1.0,10.0,11.0,1, - , - , - , - , - , - ,0.0,233,233,램펄드,366,366,램펄드,98,98,Default,,,0,0,?,?,0,2167,7,0,?,?,?,0,?,?
0,5/7/26 0:04:08,16,구구,-,?,TR구구67,30.5,30.5,500,99,5000,66.7,66.7,66.7,0.0,15.0,15.0,1, - , - , - , - , - , - ,0.0,1,1, - , - , - , - , - , - ,Default,,,0,0,?,?,0,2006,7,0,?,?,?,0,?,?
0,5/7/26 0:04:06,734,영구스,-,?,영구스38,3.0,3.0,54,31,400,37.8,37.8,37.8,5.0,2.0,10.0,1, - , - , - , - , - , - ,0.0,2039,2039,형사구스,2897,2897, - , - , - ,Default,,,0,0,?,?,0,2417,1,0,?,?,?,0,?,?
0,5/7/26 0:04:05,734,영구스,-,?,영구스40,3.0,3.0,54,31,400,40.0,40.0,40.0,5.0,3.0,10.0,1, - , - , - , - , - , - ,0.0,2824,2824,형사구스,2193,2193, - , - , - ,Default,,,0,0,?,?,0,2417,1,0,?,?,?,0,?,?
0,5/7/26 0:04:04,535,동챙이,-,?,동챙이82,8.0,8.0,178,56,800,82.2,82.2,82.2,10.0,13.0,14.0,1, - , - , - , - , - , - ,0.0,1188,1188,두까비,40,40,두빅굴,1150,1150,Default,,,0,0,?,?,0,2255,1,0,?,?,?,0,?,?
0,5/7/26 0:04:02,52,나옹 알로라,-,?,나옹 96,15.0,15.0,337,69,1900,95.6,95.6,95.6,14.0,15.0,14.0,1, - , - , - , - , - , - ,0.0,2253,2253,페르시온 알로라,2920,2920, - , - , - ,Default,,,0,0,?,?,0,415,1,0,?,?,?,0,?,?
0,5/7/26 0:04:00,813,염버니,-,?,염버니56,16.0,16.0,449,79,1900,55.6,55.6,55.6,13.0,0.0,12.0,1, - , - , - , - , - , - ,0.0,3827,3827,래비풋,3336,3336,에이스번,3207,3207,Default,,,0,0,?,?,0,2488,1,0,?,?,?,0,?,?
0,5/7/26 0:03:59,278,갈모매,-,?,갈모매73,23.0,23.0,456,86,3500,73.3,73.3,73.3,6.0,12.0,15.0,1, - , - , - , - , - , - ,0.0,368,368,패리퍼,334,334,패리퍼,416,416,Default,,,0,0,?,?,0,2098,1,0,?,?,?,0,?,?
0,5/7/26 0:03:58,109,또가스,-,?,또가스53,21.0,21.0,637,82,3000,53.3,53.3,53.3,1.0,8.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,또도가스,162,162,또도가스,1718,1718,Default,,,0,0,?,?,0,1077,7,0,?,?,?,0,?,?
0,5/7/26 0:03:56,751,물거미,-,?,물거미87,15.0,15.0,287,67,1900,86.7,86.7,86.7,10.0,14.0,15.0,1, - , - , - , - , - , - ,0.0,1344,1344,깨비물거미,2298,2298, - , - , - ,Default,,,0,0,?,?,0,2431,7,0,?,?,?,0,?,?
0,5/7/26 0:03:54,183,마릴,-,?,마릴29,1.0,1.0,10,16,200,28.9,28.9,28.9,6.0,6.0,1.0,1, - , - , - , - , - , - ,0.0,2957,2957,마릴리,1928,1928, - , - , - ,Default,,,0,0,?,?,0,2058,1,0,?,?,?,0,?,?
0,5/7/26 0:03:53,270,연꽃몬,-,?,연꽃몬40,25.0,25.0,356,83,4000,40.0,40.0,40.0,8.0,5.0,5.0,1, - , - , - , - , - , - ,0.0,2721,2721, - , - , - ,로파파,2919,2919,Default,,,0,0,?,?,0,2093,1,0,?,?,?,0,?,?
0,5/7/26 0:03:52,270,연꽃몬,-,?,연꽃몬53,25.0,25.0,356,86,4000,53.3,53.3,53.3,4.0,11.0,9.0,1, - , - , - , - , - , - ,0.0,861,861, - , - , - ,로파파,1734,1734,Default,,,0,0,?,?,0,2093,1,0,?,?,?,0,?,?
0,5/7/26 0:03:52,318,샤프니아,-,?,샤프니60,19.0,19.0,502,81,2500,60.0,60.0,60.0,1.0,14.0,12.0,1, - , - , - , - , - , - ,0.0, - , - ,샤크니아,95,95,샤크니아,575,575,Default,,,0,0,?,?,0,1220,7,0,?,?,?,0,?,?
0,5/7/26 0:03:50,574,고디탱,-,?,고디탱96,8.0,8.0,211,53,800,95.6,95.6,95.6,14.0,14.0,15.0,1, - , - , - , - , - , - ,0.0,1815,1815,고디보미,1935,1935,고디모아젤,1324,1324,Default,,,0,0,?,?,0,2289,7,0,?,?,?,0,?,?
0,5/7/26 0:03:47,650,도치마론,-,?,도치마47,8.0,8.0,209,60,800,46.7,46.7,46.7,0.0,7.0,14.0,1, - , - , - , - , - , - ,0.0,323,323,브리가론,20,20,브리가론,15,15,Default,,,0,0,?,?,0,2346,7,0,?,?,?,0,?,?
0,5/7/26 0:03:46,341,가재군,-,?,TR가재군51,30.0,30.0,924,101,5000,51.1,51.1,51.1,0.0,9.0,14.0,1, - , - , - , - , - , - ,0.0, - , - , - , - , - ,가재장군,94,94,Default,,,0,0,?,?,0,2136,7,0,?,?,?,0,?,?
0,5/7/26 0:03:44,619,비조푸,-,?,비조푸31,23.0,23.0,786,85,3500,31.1,31.1,31.1,4.0,4.0,6.0,1, - , - , - , - , - , - ,0.0, - , - ,비조푸,3452,3452,비조도,1803,1803,Default,,,0,0,?,?,0,2323,1,0,?,?,?,0,?,?
0,5/7/26 0:03:43,309,썬더라이,-,?,썬더라44,11.0,11.0,263,56,1300,44.4,44.4,44.4,7.0,6.0,7.0,1, - , - , - , - , - , - ,0.0,3052,3052,썬더볼트,1132,1132,썬더볼트,2523,2523,Default,,,0,0,?,?,0,1558,7,0,?,?,?,0,?,?
0,5/7/26 0:03:41,607,불켜미,-,?,불켜미58,2.0,2.0,38,24,200,57.8,57.8,57.8,1.0,15.0,10.0,1, - , - , - , - , - , - ,0.0,596,596,램프라,14,14,샹델라,51,51,Default,,,0,0,?,?,0,2314,7,0,?,?,?,0,?,?
0,5/7/26 0:03:39,935,카르본,-,?,카르본89,20.0,20.0,410,77,2500,88.9,88.9,88.9,15.0,15.0,10.0,1, - , - , - , - , - , - ,0.0,2791,2791, - , - , - ,카디나르마,1810,1810,Default,,,0,0,?,?,0,2709,1,0,?,?,?,0,?,?
0,5/7/26 0:03:38,137,폴리곤,-,?,폴리곤71,1.0,1.0,22,16,200,71.1,71.1,71.1,3.0,15.0,14.0,1, - , - , - , - , - , - ,0.0,1,1,폴리곤2,16,16,폴리곤Z,26,26,Default,,,0,0,?,?,0,1092,7,0,?,?,?,0,?,?
0,5/7/26 0:03:36,328,톱치,-,?,톱치87,20.0,20.0,704,85,2500,86.7,86.7,86.7,15.0,9.0,15.0,1, - , - , - , - , - , - ,0.0, - , - ,톱치,162,162,플라이곤,3206,3206,Default,,,0,0,?,?,0,984,7,0,?,?,?,0,?,?
0,5/7/26 0:03:34,819,탐리스,-,?,탐리스56,11.0,11.0,251,81,1300,55.6,55.6,55.6,0.0,12.0,13.0,1, - , - , - , - , - , - ,0.0,282,282,요씽리스,7,7,요씽리스,1271,1271,Default,,,0,0,?,?,0,2494,1,0,?,?,?,0,?,?
0,5/7/26 0:03:32,543,마디네,-,?,마디네98,9.0,9.0,179,46,1000,97.8,97.8,97.8,15.0,15.0,14.0,1, - , - , - , - , - , - ,0.0,3067,3067,펜드라,865,865,펜드라,2088,2088,Default,,,0,0,?,?,0,2263,7,0,?,?,?,0,?,?
